Year,TotalWeightedObservations,GMSL_noGIA,StdDevGMSL_noGIA,SmoothedGSML_noGIA,GMSL_GIA,StdDevGMSL_GIA,SmoothedGSML_GIA,SmoothedGSML_GIA_sigremoved
1993,327401.31,-38.59,89.86,-38.76,-38.59,89.86,-38.75,-38.57
1993,324498.41,-41.97,90.86,-39.78,-41.97,90.86,-39.77,-39.11
1993,333018.19,-41.93,87.27,-39.62,-41.91,87.27,-39.61,-38.58
1993,297483.19,-42.67,90.75,-39.67,-42.65,90.74,-39.64,-38.34
1993,321635.81,-37.86,90.26,-38.75,-37.83,90.25,-38.72,-37.21
1993,291945.91,-36.09,89.99,-37.71,-36.05,89.99,-37.67,-35.98
1993,327830,-36.11,88.74,-36.85,-36.06,88.74,-36.81,-34.94
1993,326320.41,-35.52,89.49,-36.32,-35.47,89.49,-36.27,-34.19
1993,322331,-35.47,88.79,-36.11,-35.41,88.78,-36.05,-33.72
1993,331127.31,-39.25,98.1,-36.17,-39.19,98.09,-36.11,-33.48
1993,322756.69,-37.52,87.39,-36.42,-37.45,87.38,-36.35,-33.38
1993,328551.09,-34.52,87.27,-36.81,-34.45,87.27,-36.73,-33.41
1993,328241.09,-36.63,86.34,-37.26,-36.55,86.33,-37.18,-33.54
1993,326836.59,-38.8,86.2,-37.46,-38.71,86.19,-37.37,-33.48
1993,328100.19,-40.23,85.06,-37.72,-40.13,85.06,-37.62,-33.59
1993,329731.59,-38.32,85.14,-37.29,-38.21,85.14,-37.19,-33.19
1993,328350.5,-36.03,85.33,-36.91,-35.92,85.33,-36.8,-33.02
1993,329377.5,-35.22,83.43,-36.33,-35.1,83.43,-36.22,-32.87
1993,319577.59,-35.38,82.94,-35.84,-35.26,82.94,-35.72,-33.01
1993,326465.59,-35.8,84.62,-35.37,-35.68,84.63,-35.24,-33.37
1993,186585.2,-28.46,90.91,-34.73,-28.32,90.92,-34.6,-33.72
1993,321678.81,-35.66,87.17,-33.85,-35.52,87.18,-33.71,-33.92
1993,301337.19,-34.13,87.91,-32.84,-33.99,87.91,-32.69,-34.04
1993,323292,-30.27,88.73,-31.93,-30.11,88.73,-31.78,-34.22
1993,321772.19,-29.77,88.28,-31.12,-29.61,88.29,-30.96,-34.39
1993,323769.5,-30.53,86.39,-30.51,-30.36,86.4,-30.34,-34.59
1993,294127.09,-31.98,86.27,-30.09,-31.81,86.29,-29.91,-34.76
1993,324917,-28.81,86.61,-29.58,-28.62,86.62,-29.4,-34.59
1993,322737.19,-26.59,87.94,-29.41,-26.4,87.96,-29.22,-34.49
1993,322924,-29.34,86.01,-29.68,-29.15,86.02,-29.49,-34.58
1993,334720,-30.93,94.59,-30.43,-30.73,94.6,-30.23,-34.91
1993,327631.5,-31.5,85.77,-31.29,-31.3,85.79,-31.08,-35.16
1993,325905.81,-32.46,85.36,-31.82,-32.25,85.38,-31.61,-34.96
1993,317670.81,-34.31,85.55,-31.92,-34.09,85.56,-31.7,-34.25
1993,330369.59,-32.26,85.07,-31.73,-32.03,85.07,-31.5,-33.24
1993,329738.69,-28.36,85.75,-31.49,-28.13,85.76,-31.26,-32.24
1993,323905.09,-31.13,85.2,-31.72,-30.89,85.21,-31.48,-31.77
1994,330850.31,-33.32,84.62,-31.73,-33.08,84.62,-31.48,-31.2
1994,326600.59,-30.86,83.65,-31.95,-30.61,83.65,-31.7,-30.96
1994,326324.91,-29.3,82.65,-32.61,-29.04,82.65,-32.35,-31.26
